; China eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"因为 [leader_name] 确实对您感到非常满意"

PHRASE_CONDENSED_becomes_vassal_title 				"N/A"
PHRASE_CONDENSED_becomes_vassal_initial_announcement 		"[city_name] 现在变成了您的诸候."
PHRASE_CONDENSED_becomes_vassal_no_reason	  			"N/A"

;********City Requests Trade****************************
PHRASE_city_req_trade                                   	"[city_name] 要求建立贸易关系"
PHRASE_city_req_trade_initial                           	"[city_name] 的 [leader_name] 派我来向您表达: 他是如何地敬仰您, 并且谦恭地建议咱们两个城市间, 建立互惠互利的贸易关系. 请考虑我们这个谦逊的要求, [player_name]."
PHRASE_city_req_trade_no_reason                         	"N/A"

PHRASE_CONDENSED_city_req_trade                         	"[city_name] 要求建立贸易关系"
PHRASE_CONDENSED_city_req_trade_initial                 	"[city_name] 的 [leader_name] 已经请求谈判, 与您的城市建立贸易关系."
PHRASE_CONDENSED_city_req_trade_no_reason               	"N/A"

;********City Requests Alliance****************************
PHRASE_city_req_ally                                    	"[city_name] 要求结盟"
PHRASE_city_req_ally_initial                           	"[city_name] 的 [leader_name] 派我来谈判, 与您的城市结盟. 我们相信这样做, 会让咱们都变得强大起来, [player_name]."
PHRASE_city_req_ally_no_reason                         	"N/A"

PHRASE_CONDENSED_city_req_ally                          	"[city_name] 要求结盟"
PHRASE_CONDENSED_city_req_ally_initial                 	"[city_name] 的 [leader_name] 已经与您的城市结成同盟."
PHRASE_CONDENSED_city_req_ally_no_reason               	"N/A"

;********Swears Fealty****************************
PHRASE_swears_fealty_title 						"[city_name] 宣誓效忠"
PHRASE_swears_fealty_initial_announcement 			"最值得尊敬的 [player_name], 我, [city_name] 的 [leader_name], 后悔以前与您为敌. 我发誓: 忠诚于您和您的城市, 我会向您进贡的."
PHRASE_swears_fealty_no_reason	  				"N/A"

PHRASE_CONDENSED_swears_fealty_title 				"N/A"
PHRASE_CONDENSED_swears_fealty_initial_announcement 		"[city_name] 已经发誓效忠于您, 现在成为您的一个诸候城市."
PHRASE_CONDENSED_swears_fealty_no_reason	  			"N/A"

;********Player's City Conquered THIS IS NOT USED, ENEMY_VICTORIOUS REPLACES IT ****************************

;********City conquered by player****************************
PHRASE_city_conquered_by_player_title 				"您征服了 [city_name]!"
PHRASE_city_conquered_by_player_initial_announcement 		"最勇猛的 [player_name], 您的军队在 [city_name] 取得了胜利, 那里的领导者 [leader_name] 非常惭愧. [city_name] 现在向我们进贡了."
PHRASE_city_conquered_by_player_no_reason	  			"N/A"

PHRASE_CONDENSED_city_conquered_by_player_title 			"N/A"
PHRASE_CONDENSED_city_conquered_by_player_initial_announcement 	"[city_name] 已经被征服..."
PHRASE_CONDENSED_city_conquered_by_player_no_reason	  		"N/A"

;********Ally conquers rival****************************
PHRASE_ally_conquers_rival_title 					"[city_name] 征服了 [rival_city_name]"
PHRASE_ally_conquers_rival_initial_announcement 		"真是个大喜的日子, [player_name]. 我, [city_name] 的 [leader_name], 欣喜地向您宣布: 我的军队打败了我们的对手 [rival_nationality] 及其城市 [rival_city_name]. 胜利的结果就是:  [rival_city_name] 成为了我们的同盟!"
PHRASE_ally_conquers_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_ally_conquers_rival_title 			"N/A"
PHRASE_CONDENSED_ally_conquers_rival_initial_announcement 	"您的同盟 [city_name] 已经征服了您的对手 [rival_city_name]."
PHRASE_CONDENSED_ally_conquers_rival_no_reason	  		"N/A"

;********Vassal conquers rival****************************
PHRASE_vassal_conquers_rival_title 					"[city_name] 征服了 [rival_city_name]"
PHRASE_vassal_conquers_rival_initial_announcement 		"一个幸运的消息, [player_name]! 我, [city_name] 的 [leader_name], 已经征服了我们对手 [rival_city_name]. [rival_city_name] 因战败而惭愧, 已经发誓忠诚于您!"
PHRASE_vassal_conquers_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_vassal_conquers_rival_title 				"N/A"
PHRASE_CONDENSED_vassal_conquers_rival_initial_announcement 	"您的诸候 [city_name] 已经征服了您的对手 [rival_city_name]."
PHRASE_CONDENSED_vassal_conquers_rival_no_reason	  		"N/A"

;********Ally conquered by rival****************************
PHRASE_ally_conquered_by_rival_title 				"[rival_city_name] 征服了 [city_name]!"
PHRASE_ally_conquered_by_rival_initial_announcement 		"真是条坏消息, [player_name]! 您的对手 [rival_nationality] 及其城市 [rival_city_name] 已经征服了您衷爱的一个同盟 [city_name]. [rival_city_name] 已经切断了我们与 [city_name] 之间的所有普通联系."
PHRASE_ally_conquered_by_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_ally_conquered_by_rival_title 				"N/A"
PHRASE_CONDENSED_ally_conquered_by_rival_initial_announcement 	"[rival_city_name] 已经征服的您的同盟 [city_name]!"
PHRASE_CONDENSED_ally_conquered_by_rival_no_reason	  		"N/A"

;********Vassal conquered by rival****************************
PHRASE_vassal_conquered_by_rival_title 					"[rival_city_name] 征服了 [city_name]!"
PHRASE_vassal_conquered_by_rival_initial_announcement 		"现在磨剑已经太晚了, [player_name]. 我, [rival_city_name] 的领导者, 刚刚征服了您的诸候 [city_name]. 不管怎样, 他们和我在一起, 总比和您在一起快乐!"
PHRASE_vassal_conquered_by_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_vassal_conquered_by_rival_title 			"N/A"
PHRASE_CONDENSED_vassal_conquered_by_rival_initial_announcement 	"[rival_city_name] 已经征服了您的诸候 [city_name]!"
PHRASE_CONDENSED_vassal_conquered_by_rival_no_reason	  		"N/A"

;********Colony conquered by rival****************************

;********Colony restored****************************

;********Parent city falls****************************


;***********************MISCELLANEOUS EVENTS*******************************
;*********Rebellion continues*************
PHRASE_rebellion_continues_title 				"[city_name] 的叛乱还在继续"
PHRASE_rebellion_continues_initial_announcement 	"哈! 就象您现在看到的, 我们比您预料的要强大, [player_name]! 我, 您的属城 [city_name] 的 [leader_name], 已经带领我的士兵, 打败了您派到这里来的军队. 我们的反抗还在继续!"
PHRASE_rebellion_continues_no_reason	  		"N/A"

PHRASE_CONDENSED_rebellion_continues_title 			"N/A"
PHRASE_CONDENSED_rebellion_continues_initial_announcement 	"您的军队在 [city_name] 吃了败仗, 那里的反叛在继续!"
PHRASE_CONDENSED_rebellion_continues_no_reason	  		"N/A"

;**********Demand refused***********
PHRASE_demand_refused_title 					"[city_name] 拒绝了您的要求"
PHRASE_demand_refused_initial_announcement 			"[player_name], 您还想要 [amount] [item]? 您觉得我, [city_name] 的 [leader_name], 会把这些东西送给您? 好好想想吧! 我可不打算满足您那无礼的要求!"
PHRASE_demand_animal_refused_initial_announcement 		"那么您想要的是动物了, [player_name]? 而我, [city_name] 的 [leader_name], 应该给您送去吗? 你这个坐井观天的癞蛤蟆, 到别处去为你的动物园找动物吧!"
PHRASE_demand_refused_no_reason	  			"N/A"

PHRASE_CONDENSED_demand_refused_title 			"N/A"
PHRASE_CONDENSED_demand_refused_initial_announcement 		"[city_name] 已经拒绝送来您要求的 [amount] [item]!"
PHRASE_CONDENSED_demand_animal_refused_initial_announcement 	"[city_name] 已经拒绝送来您要求的动物!"
PHRASE_CONDENSED_demand_refused_no_reason	  		"N/A"

;**************Gift refused***********
PHRASE_gift_refused_title 				"[city_name] 拒绝您的礼物"
PHRASE_gift_refused_initial_announcement 		"不是我不感激您的关怀, [player_name], 请停止炫耀您的富有吧. 我 [leader_name] 必须告诉您: [city_name] 现在不需要任何多余的 [item]. 随着时间推移一切都会变化, 但是这段时间不要再送来 [itemshort] 烦我了."
PHRASE_gift_refused_no_reason	  			"N/A"

PHRASE_CONDENSED_gift_refused_title 			"N/A"
PHRASE_CONDENSED_gift_refused_initial_announcement 	"[city_name] 拒绝了您的礼物 [amount] [item]!"
PHRASE_CONDENSED_gift_refused_no_reason	  		"N/A"

;**************Ally has become resentful***********
PHRASE_ally_resentful_title 					"[city_name] 变得怨恨!"
PHRASE_ally_resentful_initial_announcement 		"我不能再叫您朋友, [player_name]. 我, 您的同盟 [city_name] 的 [leader_name], 无法赞同您最近的某些行为. 我非常怨恨您!"
PHRASE_ally_resentful_no_reason	  			"N/A"

PHRASE_CONDENSED_ally_resentful_title 			"N/A"
PHRASE_CONDENSED_ally_resentful_initial_announcement 	"您的同盟 [city_name] 已经开始怨恨您了!"
PHRASE_CONDENSED_ally_resentful_no_reason	  		"N/A"

;**************Rival has become hostile***********
PHRASE_rival_hostile_title 					"[city_name] 变得敌对!"
PHRASE_rival_hostile_initial_announcement 		"我不愿意谈到您的名字, [player_name], 因为您的名字 会在我嘴里留下难闻的味道! 我, [city_name] 的 [leader_name], 对您感到极其愤怒! 我不知道会做出什么事来!"
PHRASE_rival_hostile_no_reason	  			"N/A"

PHRASE_CONDENSED_rival_hostile_title 			"N/A"
PHRASE_CONDENSED_rival_hostile_initial_announcement 	"您的同盟 [city_name] 已经变得敌对!"
PHRASE_CONDENSED_rival_hostile_no_reason	  		"N/A"

;**************Vassal has become rebellious***********
PHRASE_vassal_rebellious_title 				"[city_name] 变得愤怒!"
PHRASE_vassal_rebellious_initial_announcement 		"卑鄙的 [player_name], 我 [leader_name], 以及我 [city_name] 所有的人民都鄙视你! 我们刚刚决定要推翻你的政权!"
PHRASE_vassal_rebellious_no_reason	  			"N/A"

PHRASE_CONDENSED_vassal_rebellious_title 				"N/A"
PHRASE_CONDENSED_vassal_rebellious_initial_announcement 	"您的同盟 [city_name] 对您感到非常恼火!"
PHRASE_CONDENSED_vassal_rebellious_no_reason	  		"N/A"

;**************Colony has become rebellious***********

;**************Parent city has become resentful***********

;**************Ally loves you***********
PHRASE_ally_loves_you_title 					"[city_name] 热爱您"
PHRASE_ally_loves_you_initial_announcement 		"最仁慈的 [player_name], 我, [city_name] 的 [leader_name], 觉得您是我最喜爱的人. 您是一位传奇般的领导者, 每个人都应该以您为榜样!"
PHRASE_ally_loves_you_no_reason	  			"N/A"

PHRASE_CONDENSED_ally_loves_you_title 			"N/A"
PHRASE_CONDENSED_ally_loves_you_initial_announcement 	"[city_name] 热爱您!"
PHRASE_CONDENSED_ally_loves_you_no_reason	  		"N/A"

;**************Rival pleased with you***********
PHRASE_rival_pleased_title 					"[city_name] 尊重您"
PHRASE_rival_pleased_initial_announcement 		"您好, [player_name]!  我,  [city_name] 的 [leader_name] 觉得您是一个真正的对手, 您得到了我的尊重... 随着时间推移我会越来越尊重您."
PHRASE_rival_pleased_no_reason	  			"N/A"

PHRASE_CONDENSED_rival_pleased_title 			"N/A"
PHRASE_CONDENSED_rival_pleased_initial_announcement 	"[city_name] 尊重您."
PHRASE_CONDENSED_rival_pleased_no_reason	  		"N/A"

;**************Vassal loves you***********
PHRASE_vassal_loves_you_title 				"[city_name] 热爱您"
PHRASE_vassal_loves_you_initial_announcement 		"享有声誉的 [player_name], 我, [city_name] 的 [leader_name], 和我所有的人民都崇拜您! 如果我们不能生活在您的城市里, 那就让我们成为您的从属城吧!"
PHRASE_vassal_loves_you_no_reason	  			"N/A"

PHRASE_CONDENSED_vassal_loves_you_title 				"N/A"
PHRASE_CONDENSED_vassal_loves_you_initial_announcement 	"[city_name] 热爱您!"
PHRASE_CONDENSED_vassal_loves_you_no_reason	  		"N/A"

;**************Colony loves you***********

;**************Parent city loves you***********

;*****************Rival army away from city***********
PHRASE_rival_away_title 					"[city_name] 防御薄弱"
PHRASE_rival_away_spy_report 					"您好, [player_name]. 我们在 [city_name] 的密探报告了一条重要消息! 一年之内, 敌对的 [rival_nationality] 的 [city_name] 的领导者 [leader_name], 要把他的军队转移到别处去, 城市的防御出现了弱点!"
PHRASE_rival_away_initial_announcement 			"最值得尊敬的 [player_name], 密探报告敌对的 [rival_nationality] 的城市 [city_name] 的领导者 [leader_name], 已经把他的大部分军队派到别处去了. [city_name] 现在几乎是没有防御的空城!"
PHRASE_rival_away_no_reason	  				"N/A"

PHRASE_CONDENSED_rival_away_title 				"N/A"
PHRASE_CONDENSED_rival_away_spy_report	 		"密探报告 [city_name] 的军队将要离开自己的城市到别处去."
PHRASE_CONDENSED_rival_away_initial_announcement 	"您的对手 [city_name] 的军队已经远离了城市!"
PHRASE_CONDENSED_rival_away_no_reason	  		"N/A"

;**************Player's city saved***********
PHRASE_players_city_saved_title 				"入侵的军队被打败!"
PHRASE_players_city_saved_initial_announcement 		"好消息, [player_name]! [city_name] 的软弱的军队 被您的军队打败后, 由他们困窘的统治者 [leader_name] 带着撤退了. 您的城市安全了!"
PHRASE_players_city_saved_no_reason	  			"N/A"

PHRASE_CONDENSED_players_city_saved_title 			"N/A"
PHRASE_CONDENSED_players_city_saved_initial_announcement 	"来自 [city_name] 的入侵军队被打败了!"
PHRASE_CONDENSED_players_city_saved_no_reason	  		"N/A"

;**************Player's conquest fails***********
PHRASE_players_conquest_fails_title 				"侵略 [city_name] 的军队被打败了"
PHRASE_players_conquest_fails_initial_announcement 		"可怕的消息, [player_name]. 您的军队在 [nationality] 的城市 [city_name] 被打败了. 它的统治者 [leader_name], 已经挫败了您的侵略."
PHRASE_players_conquest_fails_no_reason	  			"N/A"

PHRASE_CONDENSED_players_conquest_fails_title 				"N/A"
PHRASE_CONDENSED_players_conquest_fails_initial_announcement 	"您试图征服 [city_name] 的行动已经失败了!"
PHRASE_CONDENSED_players_conquest_fails_no_reason	  		"N/A"

;**************Player's conquest bribed***********
PHRASE_players_conquest_bribed_title 					"[city_name] 贿赂了您的征服部队"
PHRASE_players_conquest_bribed_initial_announcement 			"顺利的消息, [player_name]. 您的军队已经接受了 [nationality] 的城市 [city_name] 的 [amount] 现金贿赂."
PHRASE_players_conquest_bribed_no_reason	  				"N/A"

PHRASE_CONDENSED_players_conquest_bribed_title 				"N/A"
PHRASE_CONDENSED_players_conquest_bribed_initial_announcement 	"您试图征服 [city_name] 的军队被贿赂了!"
PHRASE_CONDENSED_players_conquest_bribed_no_reason	  		"N/A"

;**************Player's conquest surrender***********
PHRASE_players_conquest_surrender_title 					"[city_name] 投降了!"
PHRASE_players_conquest_surrender_initial_announcement 		"快乐的消息, [player_name]. 您的军队使 [nationality] 的城市 [city_name] 惧怕, 因而向您投降了. 它的统治者 [leader_name] 谦恭地恳求您的宽恕!"
PHRASE_players_conquest_surrender_no_reason	  			"N/A"

PHRASE_CONDENSED_players_conquest_surrender_title 			"N/A"
PHRASE_CONDENSED_players_conquest_surrender_initial_announcement 	"您征服了 [city_name] !"
PHRASE_CONDENSED_players_conquest_surrender_no_reason	  		"N/A"

;**************Strike unsuccessful***********
PHRASE_strike_unsuccessful_title 					"打击 [rival_city_name] 的联合行动失败"
PHRASE_strike_unsuccessful_initial_announcement 		"无与伦比的 [player_name], 我们已竭尽所能, 但是您命令打击 [rival_city_name] 的行动失败了. 我, [city_name] 的 [leader_name], 已经命令我的残兵败将回家了."
PHRASE_strike_unsuccessful_no_reason	  			"N/A"

PHRASE_CONDENSED_strike_unsuccessful_title 			"N/A"
PHRASE_CONDENSED_strike_unsuccessful_initial_announcement 	"打击 [rival_city_name] 的行动失败了!"
PHRASE_CONDENSED_strike_unsuccessful_no_reason	  		"N/A"

;**************Army returns***********
PHRASE_army_returns_title 						"士兵从 [city_name] 返回"
PHRASE_army_returns_initial_announcement 				"您好, [player_name]. 您的勇士们已经从 [city_name] 回来了, 他们满身伤痛, 疲惫不堪."
PHRASE_army_returns_no_reason	  					"N/A"

PHRASE_CONDENSED_army_returns_title 				"N/A"
PHRASE_CONDENSED_army_returns_initial_announcement 		"您的士兵已经从 [city_name] 返回."
PHRASE_CONDENSED_army_returns_no_reason	  			"N/A"

;************* Strike *************
PHRASE_strike_force_sets_forth_title 				"攻击军队出发去 [rival_city_name]"
PHRASE_strike_force_sets_forth_initial_announcement 		"军号已经吹响, [player_name]. 我, [city_name] 的 [leader_name], 已经按照您的命令, 派我的部队去进攻 [rival_nationality] 的城市 [rival_city_name]. 我们希望获得胜利, 这样我们就能给您带来荣光!"
PHRASE_strike_force_sets_forth_no_reason	  			"N/A"

PHRASE_CONDENSED_strike_force_sets_forth_title 				"N/A"
PHRASE_CONDENSED_strike_force_sets_forth_initial_announcement 	"[city_name] 的军队已经出发去进攻 [rival_city_name]."
PHRASE_CONDENSED_strike_force_sets_forth_no_reason	  		"N/A"

;TROOPS ON LOAN EVENT TEXT

;**************Support Troops Arrive*****************
PHRASE_support_troops_arrive_title 					    	"[city_name] 的军队到达"
PHRASE_support_troops_arrive_initial_announcement 			"您好, [player_name]. 现在, 我, [city_name] 的 [leader_name], 派到您的城市去帮助您的部队 已经到岗了."
PHRASE_support_troops_arrive_no_reason	  				"N/A"

PHRASE_CONDENSED_support_troops_arrive_title 				"N/A"
PHRASE_CONDENSED_support_troops_arrive_initial_announcement 	"[city_name] 的援助部队到了"
PHRASE_CONDENSED_support_troops_arrive_no_reason	  		"N/A"

;**************Support Troops Depart*****************
PHRASE_support_troops_depart_title 					    	"军队返回 [city_name]"
PHRASE_support_troops_depart_initial_announcement 			"您好, [player_name]. 我, [city_name] 的 [leader_name], 已经命令我的部队回家. 您的城市没有出现任何军事事件, 我却需要他们回防我的城市."
PHRASE_support_troops_depart_no_reason	  				"N/A"

PHRASE_CONDENSED_support_troops_depart_title 				"N/A"
PHRASE_CONDENSED_support_troops_depart_initial_announcement 	"[city_name] 的军队已经离开"
PHRASE_CONDENSED_support_troops_depart_no_reason	  		"N/A"

;**************Support Troops Defeated*****************
PHRASE_support_troops_defeated_title 					"雇佣军被打败了!"
PHRASE_support_troops_defeated_initial_announcement 			"可怕的消息, [player_name]. 从其它城市雇佣来的军队被打败了!"
PHRASE_support_troops_defeated_no_reason	  				"N/A"

PHRASE_CONDENSED_support_troops_defeated_title 				"N/A"
PHRASE_CONDENSED_support_troops_defeated_initial_announcement 	"雇佣军被打败了."
PHRASE_CONDENSED_support_troops_defeated_no_reason	  		"N/A"


;**************Rival Emissary Arrives*****************
PHRASE_rival_emissary_title				"外交使者到达"
PHRASE_rival_emissary_initial				"请原谅我的打扰, [player_name]. 来自 [city_name] 的使者, 请求进入您的城市. 他的目的可能是和平的, 或者也可能给您的城市带来威胁."
PHRASE_rival_emissary_no_reason			"N/A"

PHRASE_CONDENSED_rival_emissary_title		"外交使者到达"
PHRASE_CONDENSED_rival_emissary_initial		"[city_name] 的使者请求进城."
PHRASE_CONDENSED_rival_emissary_no_reason		"N/A"	


;PANHELLENIC GAMES EVENTS


;PYTHIAN GAMES
;**************Pythian Games Begin*****************

;**************Can't participate in Pythian Games*****

;**************Pythian Games conclude***************

;OLYMPIAN

;HOME GAMES
;*****************Home Games Begin*****************

;******************Home Games Cancelled***************

;**************Home Games conclude***************
;POPULATION MILESTONES
;******************Population 100***************
PHRASE_population_100_title						"人口里程碑： 100 人"
PHRASE_population_100_initial_announcement			"您年轻的城镇幸运地有了 100 个居民."
PHRASE_population_100_no_reason					"N/A"

PHRASE_CONDENSED_population_100_title				"N/A"
PHRASE_CONDENSED_population_100_initial_announcement		"城市人口达到 100."
PHRASE_CONDENSED_population_100_no_reason				"N/A"

;******************Population 500***************
PHRASE_population_500_title						"人口里程碑： 500 人"
PHRASE_population_500_initial_announcement			"祝贺您! 您的城市人口首次达到 500 人."
PHRASE_population_500_no_reason					"N/A"

PHRASE_CONDENSED_population_500_title				"N/A"
PHRASE_CONDENSED_population_500_initial_announcement		"城市人口达到 500."
PHRASE_CONDENSED_population_500_no_reason				"N/A"

;******************Population 1000***************
PHRASE_population_1000_title						"人口里程碑： 1000 人"
PHRASE_population_1000_initial_announcement			"人们不断地聚集到您的城市, 人口首次达到 1000 人."
PHRASE_population_1000_no_reason					"N/A"

PHRASE_CONDENSED_population_1000_title				"N/A"
PHRASE_CONDENSED_population_1000_initial_announcement		"城市人口达到 1000."
PHRASE_CONDENSED_population_1000_no_reason			"N/A"

;******************Population 2000***************
PHRASE_population_2000_title						"人口里程碑： 2000 人"
PHRASE_population_2000_initial_announcement			"对于城市来说, 这确实是值得骄傲的一天. 人口首次达到了 2000 人."
PHRASE_population_2000_no_reason					"N/A"

PHRASE_CONDENSED_population_2000_title				"N/A"
PHRASE_CONDENSED_population_2000_initial_announcement		"城市人口达到 2000."
PHRASE_CONDENSED_population_2000_no_reason			"N/A"

;******************Population 3000***************
PHRASE_population_3000_title						"人口里程碑： 3000 人"
PHRASE_population_3000_initial_announcement			"您的城市人口首次达到 3000 人. 做得好!"
PHRASE_population_3000_no_reason					"N/A"

PHRASE_CONDENSED_population_3000_title				"N/A"
PHRASE_CONDENSED_population_3000_initial_announcement		"城市人口达到 3000."
PHRASE_CONDENSED_population_3000_no_reason			"N/A"

;******************Population 5000***************
PHRASE_population_5000_title						"人口里程碑： 5000 人"
PHRASE_population_5000_initial_announcement			"现在有整整 5000 人以您的城市为家. 随着城市规模不断壮大, 城市在整个国家内的地位 也在不断上升."
PHRASE_population_5000_no_reason					"N/A"

PHRASE_CONDENSED_population_5000_title				"N/A"
PHRASE_CONDENSED_population_5000_initial_announcement		"城市人口达到 5000."
PHRASE_CONDENSED_population_5000_no_reason			"N/A"

;******************Population 10000***************
PHRASE_population_10000_title						"人口里程碑： 10000 人"
PHRASE_population_10000_initial_announcement			"越来越多的人正在向这里移居! 现在您的城市人口已经达到 10000, 这标志着城市发展的巨大成功."
PHRASE_population_10000_no_reason					"N/A"

PHRASE_CONDENSED_population_10000_title				"N/A"
PHRASE_CONDENSED_population_10000_initial_announcement	"城市人口达到 10000."
PHRASE_CONDENSED_population_10000_no_reason			"N/A"

;******************Population 15000***************
PHRASE_population_15000_title						"人口里程碑： 15000 人"
PHRASE_population_15000_initial_announcement			"现在有 15000 居民住在您的城市里!"
PHRASE_population_15000_no_reason					"N/A"

PHRASE_CONDENSED_population_15000_title				"N/A"
PHRASE_CONDENSED_population_15000_initial_announcement	"城市人口达到 15000."
PHRASE_CONDENSED_population_15000_no_reason			"N/A"

;******************Population 20000***************
PHRASE_population_20000_title						"人口里程碑： 20000 人"
PHRASE_population_20000_initial_announcement			"有了 20000 人, 您的城市成为整个国家内 最大的城市之一."
PHRASE_population_20000_no_reason					"N/A"

PHRASE_CONDENSED_population_20000_title				"N/A"
PHRASE_CONDENSED_population_20000_initial_announcement	"城市人口达到 20000."
PHRASE_CONDENSED_population_20000_no_reason			"N/A"

;******************Population 25000***************
PHRASE_population_25000_title						"人口里程碑： 25000 人"
PHRASE_population_25000_initial_announcement			"谁说的, 您永远不会达到这个人口数? 整整 25000 人, 把您光荣的城市当作自己的家, 依靠您得到工作\ 食物\ 保护和其它生活必需的东西."
PHRASE_population_25000_no_reason					"N/A"

PHRASE_CONDENSED_population_25000_title				"N/A"
PHRASE_CONDENSED_population_25000_initial_announcement	"城市人口达到 25000."
PHRASE_CONDENSED_population_25000_no_reason			"N/A"

;***********COMMEMORATIVE MONUMENT EVENT TEXT******************

;***********Happiness monument available**************

;***********Colony monument available**************

;***********Victory monument available**************

;***********Flood disaster triggered****************

PHRASE_flood_title						"洪水!"
PHRASE_flood_initial						"无法扼制的洪水淹没了河岸边的土地!"
PHRASE_flood_phrase_by_hero					"愤怒的祖先召唤了一条河龙袭击土地! 大洪水会造成许多惨剧和破坏!"
PHRASE_flood_phrase_no_reason					"河水上涨得比以前都高, 溢出河岸变成大洪水! 大水会在您的城市中引起混乱!"

PHRASE_CONDENSED_flood_title					"N/A"
PHRASE_CONDENSED_flood_phrase_by_hero			"一条河龙引起了一场洪水, 冲刷着土地."
PHRASE_CONDENSED_flood_phrase_no_reason			"河流洪水泛滥."

;***********Earthquake disaster triggered****************

PHRASE_quake_title						"地震!"
PHRASE_quake_initial						"一场可怕的地震, 毁坏了您稳定的城市!"
PHRASE_quake_phrase_by_hero					"祖先们都愤怒了, 他们的暴怒 引起了大地的震颤! 您的城市处于危险当中!"
PHRASE_quake_phrase_no_reason					"大地在暴怒地摇动, 把您城市中的建筑物震毁!"

PHRASE_CONDENSED_quake_title					"地震!"
PHRASE_CONDENSED_quake_phrase_by_hero			"您的城市忽视了祭祀祖先们, 最终引发了地震."
PHRASE_CONDENSED_quake_phrase_no_reason			"地震摇晃撕裂着整个大地."

;***********Drought disaster triggered****************

PHRASE_drought_title						"干旱!"
PHRASE_drought_initial						"无情的太阳烤炙着大地, 引发干旱, 摧残着您的农作物!"
PHRASE_drought_phrase_by_hero					"愤怒的祖先诅咒了您的作物! 或许在饥饿的时候, 您才能注意到祖先们的召唤!"
PHRASE_drought_phrase_no_reason				"可怕的干旱导致您的作物枯萎了!"

PHRASE_CONDENSED_drought_title				"干旱!"
PHRASE_CONDENSED_drought_phrase_by_hero			"您的城市忽视了祭祀祖先们, 导致了干旱的发生."
PHRASE_CONDENSED_drought_phrase_no_reason			"干旱已经毁坏了您的庄稼."

;*****************MYTHOLOGICAL EVENT MESSAGES**************************************

;************************WOOING AND JEALOUSY*************************************

;********Zeus*******************

;********Poseidon*******************

;********Hades*******************

;********Demeter*******************

;********Athena*******************

;********Apollo*******************

;********Artemis*******************

;********Ares*******************

;********Hephaestus*******************

;********Aphrodite*******************

;********Hermes*******************

;********Dionysus*******************

;******************************************HERO INVASIONS****************************************
;********Huang Di invades****************************************
PHRASE_huangdi_invades_title					"黄帝入侵"
PHRASE_huangdi_invades_spy_report				"最令人同情的 [player_name], 密探瑟瑟发抖, 他们预见了可怕的情形! 强大的黄帝将在一年内进攻您的城市!"
PHRASE_huangdi_invades_city_attacked_alert  		"我是黄帝, 你冒犯了我! 因此现在你应该为自己的傲慢 付出代价! 射出去的箭就收不回来了."
PHRASE_huangdi_invades_reason  	 	 		"N/A"
PHRASE_huangdi_invades_no_reason	  			"N/A"

PHRASE_CONDENSED_huangdi_invades_title 			"N/A"
PHRASE_CONDENSED_huangdi_invades_spy_report		"密探预见黄帝将在一年内进攻你的城市."
PHRASE_CONDENSED_huangdi_invades_city_attacked_alert  "我是伟大的黄帝. 你冒犯了我, 而现在你应该接受惩罚!"
PHRASE_CONDENSED_huangdi_invades_reason  	 		"N/A"
PHRASE_CONDENSED_huangdi_invades_no_reason  	 	""

;********Sun Tzu invades****************************************
PHRASE_suntzu_invades_title 					"孙子入侵"
PHRASE_suntzu_invades_spy_report				"最高贵的 [player_name], 密探们带回了 会让您的士兵们害怕得 发抖的坏消息! 足智多谋的孙子将在一年内进攻您的城市!"
PHRASE_suntzu_invades_city_attacked_alert  		"你与我为敌, 我要用我全部的谋略 摧毁你那可怜的城市."
PHRASE_suntzu_invades_reason  	 	 		"N/A"
PHRASE_suntzu_invades_no_reason	  	 		"N/A"
PHRASE_suntzu_invades_disembarked_alert  	    		"N/A"

PHRASE_CONDENSED_suntzu_invades_title 			"N/A"
PHRASE_CONDENSED_suntzu_invades_spy_report		"密探预见孙子将在一年内进攻你的城市."
PHRASE_CONDENSED_suntzu_invades_city_attacked_alert  	"你与我为敌!"
PHRASE_CONDENSED_suntzu_invades_reason  	 	 	"N/A"
PHRASE_CONDENSED_suntzu_invades_no_reason  	 	""
PHRASE_CONDENSED_suntzu_invades_disembarked_alert  	"N/A"

;********Guan Di invades****************************************
PHRASE_guandi_invades_title 					"关公入侵"
PHRASE_guandi_invades_spy_report				"您好, [player_name]. 我们收到了最令人不安地报告： 武圣人关公将在一年内进攻您的城市!"
PHRASE_guandi_invades_city_attacked_alert  		"你惹起了我的怒火, 你这个软弱可怜的领导者! 你根本不是我的对手."
PHRASE_guandi_invades_reason  	 	 		"N/A"
PHRASE_guandi_invades_no_reason	  	 		"N/A"
PHRASE_guandi_invades_disembarked_alert  	    		"N/A"

